Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Ano (Código),Ano,Variável (Código),Variável,Brasil (Código),Brasil,Situação do domicílio (Código),Situação do domicílio,Condição em relação à força de trabalho na semana de referência (Código),Condição em relação à força de trabalho na semana de referência
1,Brasil,1572,Mil pessoas,104767.609,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,1,Brasil,6795,Total,32860,Total
1,Brasil,1572,Mil pessoas,103763.209,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",1,Brasil,6795,Total,32860,Total
1,Brasil,1572,Mil pessoas,105772.009,2013,2013,4312,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite superior",1,Brasil,6795,Total,32860,Total
1,Brasil,2,%,0.5,2013,2013,4833,Coeficiente de variação - Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,1,Brasil,6795,Total,32860,Total
1,Brasil,2,%,72.0,2013,2013,4313,Percentual de pessoas de 18 anos ou mais de idade que consomem feijão regularmente,1,Brasil,6795,Total,32860,Total
1,Brasil,2,%,71.3,2013,2013,4314,"Percentual de pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",1,Brasil,6795,Total,32860,Total
1,Brasil,2,%,72.7,2013,2013,4315,"Percentual de pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite superior",1,Brasil,6795,Total,32860,Total
1,Brasil,2,%,0.5,2013,2013,4834,Coeficiente de variação - Percentual de pessoas de 18 anos ou mais de idade que consomem feijão regularmente,1,Brasil,6795,Total,32860,Total
1,Brasil,1572,Mil pessoas,108766.876,2019,2019,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,1,Brasil,6795,Total,32860,Total
1,Brasil,1572,Mil pessoas,107821.141,2019,2019,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",1,Brasil,6795,Total,32860,Total
1,Brasil,1572,Mil pessoas,109712.611,2019,2019,4312,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite superior",1,Brasil,6795,Total,32860,Total
1,Brasil,2,%,0.4,2019,2019,4833,Coeficiente de variação - Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,1,Brasil,6795,Total,32860,Total
1,Brasil,2,%,68.3,2019,2019,4313,Percentual de pessoas de 18 anos ou mais de idade que consomem feijão regularmente,1,Brasil,6795,Total,32860,Total
1,Brasil,2,%,67.7,2019,2019,4314,"Percentual de pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",1,Brasil,6795,Total,32860,Total
1,Brasil,2,%,68.9,2019,2019,4315,"Percentual de pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite superior",1,Brasil,6795,Total,32860,Total
1,Brasil,2,%,0.4,2019,2019,4834,Coeficiente de variação - Percentual de pessoas de 18 anos ou mais de idade que consomem feijão regularmente,1,Brasil,6795,Total,32860,Total
