Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Ano (Código),Ano,Variável (Código),Variável,Município (Código),Município,Condição em relação à força de trabalho na semana de referência (Código),Condição em relação à força de trabalho na semana de referência,Situação do domicílio (Código),Situação do domicílio
6,Município,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,1100205,Porto Velho - RO,32860,Total,6795,Total
6,Município,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,1200401,Rio Branco - AC,32860,Total,6795,Total
6,Município,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,1302603,Manaus - AM,32860,Total,6795,Total
6,Município,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,1400100,Boa Vista - RR,32860,Total,6795,Total
6,Município,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,1501402,Belém - PA,32860,Total,6795,Total
6,Município,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,1600303,Macapá - AP,32860,Total,6795,Total
6,Município,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,1721000,Palmas - TO,32860,Total,6795,Total
6,Município,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,2111300,São Luís - MA,32860,Total,6795,Total
6,Município,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,2211001,Teresina - PI,32860,Total,6795,Total
6,Município,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,2304400,Fortaleza - CE,32860,Total,6795,Total
6,Município,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,2408102,Natal - RN,32860,Total,6795,Total
6,Município,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,2507507,João Pessoa - PB,32860,Total,6795,Total
