Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Ano (Código),Ano,Variável (Código),Variável,Unidade da Federação (Código),Unidade da Federação,Condição em relação à força de trabalho na semana de referência (Código),Condição em relação à força de trabalho na semana de referência,Situação do domicílio (Código),Situação do domicílio
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,11,Rondônia,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,12,Acre,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,13,Amazonas,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,14,Roraima,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,15,Pará,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,16,Amapá,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,17,Tocantins,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,21,Maranhão,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,22,Piauí,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,23,Ceará,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,24,Rio Grande do Norte,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,25,Paraíba,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,26,Pernambuco,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,27,Alagoas,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,28,Sergipe,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,29,Bahia,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,31,Minas Gerais,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,32,Espírito Santo,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,33,Rio de Janeiro,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,35,São Paulo,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,41,Paraná,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,42,Santa Catarina,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,43,Rio Grande do Sul,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,50,Mato Grosso do Sul,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,51,Mato Grosso,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,52,Goiás,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4310,Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,53,Distrito Federal,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",11,Rondônia,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",12,Acre,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",13,Amazonas,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",14,Roraima,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",15,Pará,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",16,Amapá,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",17,Tocantins,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",21,Maranhão,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",22,Piauí,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",23,Ceará,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",24,Rio Grande do Norte,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",25,Paraíba,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",26,Pernambuco,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",27,Alagoas,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",28,Sergipe,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",29,Bahia,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",31,Minas Gerais,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",32,Espírito Santo,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",33,Rio de Janeiro,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",35,São Paulo,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",41,Paraná,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",42,Santa Catarina,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4311,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite inferior",43,Rio Grande do Sul,32860,Total,6795,Total
