UF,Codigo do Municipio IBGE,Municipio,Area,Codigo da Área,Nome da Area,Numero de Domicilios,Numero de Habitantes,"Renda media domiciliar(Real)
",Grupo de percentis de acordo com a densidade de estabelecimentos saudaveis (in natura e misto),"Densidade de estabelecimentos saudaveis (in natura + misto)
10 mil hab","Densidade de estabelecimentos não saudaveis (ultraprocessados)
10 mil hab",Numero de feiras livres,Numero de estabelecimentos In natura na base da RAIS,Numero de estabelecimentos mistos na base da RAIS,Numero de estabelecimentos ultraprocessados na base da RAIS,Total de estabelecimentos de alimentacao na base da RAIS,"Hipermercados
cnae 4711301","Supermercados
cnae 4711302","Minimercados. mercearias e armazens
cnae 4712100","Padaria e confeitaria de revenda
cnae 4721102","Varejista de laticinios e frios
cnae 4721103","Varejista de doces. balas. bombons e semelhantes
cnae 4721104","Acougues
cnae 4722901","Peixarias
cnae 4722902","Varejista de hortifrutigranjeiros
cnae 4724500","Lojas de conveniencia 
cnae 4729602","Produtos alimenticios não especificados 
cnae 4729699","Restaurantes
cnae 5611201","Bares e outros estabs bebidas 
cnae 5611202","Lanchonetes. casas de cha. de sucos e similares
cnae 5611203","Ambulantes de alimentacao 
Cnae 5612100","Cantinas
cnae 5620103","Alimentos preparados para consumo domiciliar
cnae 5620104"
RO,1100205,Porto Velho,Distrito,11002051000,Abunã - Porto Velho (RO),509,1631,994.22,Grupo 1 - Percentil 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,1100205,Porto Velho,Distrito,11002051500,Calama - Porto Velho (RO),622,2767,968.77,Grupo 1 - Percentil 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,1100205,Porto Velho,Distrito,11002051600,Demarcação- Porto Velho (RO),129,543,894.92,Grupo 1 - Percentil 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,1100205,Porto Velho,Distrito,11002051800,Fortaleza do Abunã- Porto Velho (RO),132,435,1305.83,Grupo 1 - Percentil 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,1100205,Porto Velho,Distrito,11002053000,Nazaré - Porto Velho (RO),160,620,1054.19,Grupo 1 - Percentil 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,1100205,Porto Velho,Distrito,11002054000,São Carlos - Porto Velho (RO),505,2001,1123.94,Grupo 1 - Percentil 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,1100205,Porto Velho,Distrito,11002050500,Porto Velho - Porto Velho (RO) - excluindo os subdistritos englobados,12165,44328,1597.64,Grupo 2 - Percentil 50,10.6,1.8,0,7,40,8,55,2,3,20,4,1,1,4,0,0,0,4,7,0,7,0,0,2
RO,1100205,Porto Velho,Subdistrito,11002050508,Zona 03 - Porto Velho - Porto Velho (RO),26194,96631,2396.09,Grupo 2 - Percentil 50,11.69,2.28,1,13,99,22,134,3,6,42,11,1,1,5,1,1,0,13,28,1,19,0,1,1
RO,1100205,Porto Velho,Subdistrito,11002050510,Zona 05 - Porto Velho - Porto Velho (RO),6315,23838,1406.5,Grupo 2 - Percentil 50,11.33,0.42,0,4,23,1,28,0,2,19,1,0,0,2,0,0,0,0,3,0,1,0,0,0
RO,1100205,Porto Velho,Subdistrito,11002050507,Zona 02 - Porto Velho - Porto Velho (RO),16211,53580,4213.83,Grupo 3 - Percentil 75,35.65,12.69,2,32,157,68,257,4,15,30,12,3,11,9,3,5,5,22,82,6,45,3,1,1
RO,1100205,Porto Velho,Subdistrito,11002050509,Zona 04 - Porto Velho - Porto Velho (RO),24997,92550,2459.37,Grupo 3 - Percentil 75,18.91,2.16,1,32,142,20,194,4,8,74,19,1,3,13,5,6,0,9,32,1,16,0,0,3
